Generation;MeanFitness;MaxFitness
327;871;1000
328;1000;1000
329;934;1000
330;995;1000
331;1000;1000
332;933;1000
333;875;1000
334;1000;1000
335;995;1000
336;1000;1000
337;1000;1000
338;998;1000
339;937;1000
340;995;1000
341;1000;1000
342;937;1000
343;937;1000
344;937;1000
345;1000;1000
346;930;1000
347;1000;1000
348;872;1000
349;937;1000
350;994;1000
351;937;1000
352;1000;1000
353;1000;1000
354;870;1000
355;937;1000
356;1000;1000
357;1000;1000
358;869;1000
359;1000;1000
360;875;1000
361;996;1000
362;937;1000
363;937;1000
364;997;1000
365;937;1000
366;1000;1000
367;937;1000
368;1000;1000
369;997;1000
370;1000;1000
371;991;1000
372;937;1000
373;932;1000
374;1000;1000
375;998;1000
376;1000;1000
377;937;1000
378;1000;1000
379;934;1000
380;869;1000
381;1000;1000
382;875;1000
383;937;1000
384;1000;1000
385;1000;1000
386;1000;1000
387;937;1000
388;934;1000
389;937;1000
390;998;1000
391;937;1000
392;937;1000
393;994;1000
394;995;1000
395;932;1000
396;995;1000
397;931;1000
398;991;1000
399;997;1000
400;937;1000
401;931;1000
402;1000;1000
403;937;1000
404;1000;1000
405;1000;1000
406;937;1000
407;988;1000
408;1000;1000
409;995;1000
410;937;1000
411;995;1000
412;934;1000
413;1000;1000
414;1000;1000
415;996;1000
416;994;1000
417;993;1000
418;869;1000
419;937;1000
420;1000;1000
421;998;1000
422;875;1000
423;933;1000
424;937;1000
425;1000;1000
426;1000;1000
427;935;1000
428;807;1000
429;996;1000
430;1000;1000
431;937;1000
432;937;1000
433;997;1000
434;812;1000
435;1000;1000
436;1000;1000
437;1000;1000
438;936;1000
439;997;1000
440;1000;1000
441;1000;1000
442;993;1000
443;996;1000
444;1000;1000
445;936;1000
446;932;1000
447;1000;1000
448;937;1000
449;937;1000
450;870;1000
451;937;1000
452;1000;1000
453;937;1000
454;934;1000
455;997;1000
456;995;1000
457;937;1000
458;993;1000
459;937;1000
460;992;1000
461;937;1000
462;926;1000
463;937;1000
464;1000;1000
465;994;1000
466;872;1000
467;937;1000
468;995;1000
469;937;1000
470;937;1000
471;995;1000
472;871;1000
473;933;1000
474;1000;1000
475;875;1000
476;1000;1000
477;937;1000
478;994;1000
479;875;1000
480;989;1000
481;937;1000
482;875;1000
483;1000;1000
484;937;1000
485;935;1000
486;997;1000
487;870;1000
488;875;1000
489;933;1000
490;875;1000
491;929;1000
492;937;1000
493;875;1000
494;875;1000
495;935;1000
496;1000;1000
497;1000;1000
498;932;1000
499;1000;1000
500;1000;1000
501;937;1000
502;807;1000
503;1000;1000
504;1000;1000
505;995;1000
506;1000;1000
507;875;1000
508;932;1000
509;937;1000
510;925;1000
511;807;1000
512;1000;1000
513;934;1000
514;937;1000
515;928;1000
516;875;1000
517;1000;1000
518;1000;1000
519;1000;1000
520;1000;1000
521;1000;1000
522;934;1000
523;1000;1000
524;872;1000
525;750;1000
526;875;1000
527;937;1000
528;1000;1000
529;937;1000
530;871;1000
531;995;1000
532;1000;1000
533;937;1000
534;933;1000
535;937;1000
536;875;1000
537;997;1000
538;1000;1000
539;1000;1000
540;997;1000
541;937;1000
542;934;1000
543;1000;1000
544;937;1000
545;1000;1000
546;875;1000
547;937;1000
548;937;1000
549;998;1000
550;937;1000
551;998;1000
552;937;1000
553;937;1000
554;937;1000
555;1000;1000
556;991;1000
557;1000;1000
558;1000;1000
559;997;1000
560;995;1000
561;1000;1000
562;937;1000
563;875;1000
564;875;1000
565;875;1000
566;937;1000
567;1000;1000
568;937;1000
569;1000;1000
570;995;1000
571;1000;1000
572;1000;1000
573;995;1000
574;937;1000
575;875;1000
576;937;1000
577;1000;1000
578;997;1000
579;935;1000
580;1000;1000
581;871;1000
582;997;1000
583;1000;1000
584;1000;1000
585;937;1000
586;875;1000
587;1000;1000
588;935;1000
589;995;1000
590;998;1000
591;1000;1000
592;1000;1000
593;933;1000
594;997;1000
595;994;1000
596;1000;1000
597;807;1000
598;934;1000
599;931;1000
600;995;1000
601;932;1000
602;937;1000
603;995;1000
604;996;1000
605;996;1000
606;996;1000
607;937;1000
608;937;1000
609;932;1000
610;868;1000
611;812;1000
612;1000;1000
613;937;1000
614;996;1000
615;870;1000
616;1000;1000
617;936;1000
618;1000;1000
619;872;1000
620;1000;1000
621;1000;1000
622;996;1000
623;997;1000
